Time,Source,Destination,Protocol,Length,portnumber,Info
2015-10-2409:44:00,192.168.0.105,192.168.0.1,DNS,76,53,match.adsrvr.org
2015-10-2409:44:00,192.168.0.105,192.168.0.1,DNS,74,53,1.gravatar.com
2015-10-2409:44:00,192.168.0.105,192.168.0.1,DNS,83,53,syndication.twitter.com
2015-10-2409:44:02,192.168.0.105,192.168.0.1,DNS,76,53,tags.bluekai.com
2015-10-2409:44:02,192.168.0.105,192.168.0.1,DNS,76,53,idsync.rlcdn.com
2015-10-2409:44:02,192.168.0.105,192.168.0.1,DNS,77,53,bcp.crwdcntrl.net
2015-10-2409:44:02,192.168.0.105,192.168.0.1,DNS,75,53,trc.taboola.com
2015-10-2409:44:03,192.168.0.105,192.168.0.1,DNS,73,53,rtg.ml314.com
2015-10-2409:44:15,192.168.0.105,192.168.0.1,DNS,83,53,perpro07-as1a.ml314.com
2015-10-2409:44:30,192.168.0.105,192.168.0.1,DNS,79,53,clients2.google.com
2015-10-2409:44:30,192.168.0.105,192.168.0.1,DNS,85,53,update.toolbar.widdit.com
2015-10-2409:44:35,192.168.0.105,192.168.0.1,DNS,90,53,clients2.googleusercontent.com
2015-10-2409:45:14,192.168.0.105,192.168.0.1,DNS,78,53,ping.chartbeat.net
2015-10-2409:45:23,192.168.0.105,192.168.0.1,DNS,80,53,edge01.chartbeat.net
2015-10-2409:45:24,192.168.0.105,192.168.0.1,DNS,85,53,lh4.googleusercontent.com
2015-10-2409:45:25,192.168.0.105,192.168.0.1,DNS,73,53,d.dropbox.com
2015-10-2409:45:25,192.168.0.105,192.168.0.1,DNS,83,53,ctldl.windowsupdate.com
2015-10-2409:45:25,192.168.0.105,192.168.0.1,DNS,73,53,g.ceipmsn.com
2015-10-2409:45:26,192.168.0.105,192.168.0.1,DNS,81,53,searchclient.live.net
2015-10-2409:45:27,192.168.0.105,192.168.0.1,DNS,87,53,timesofindia.indiatimes.com
2015-10-2409:45:27,192.168.0.105,192.168.0.1,DNS,77,53,cdn.mouseflow.com
2015-10-2409:45:27,192.168.0.105,192.168.0.1,DNS,78,53,ds.serving-sys.com
2015-10-2409:45:27,192.168.0.105,192.168.0.1,DNS,89,53,pagead2.googlesyndication.com
2015-10-2409:45:27,192.168.0.105,192.168.0.1,DNS,92,53,static.columbia.timesinternet.in
2015-10-2409:45:27,192.168.0.105,192.168.0.1,DNS,76,53,vp.videoplaza.tv
2015-10-2409:45:28,192.168.0.105,192.168.0.1,DNS,80,53,fonts.googleapis.com
2015-10-2409:45:28,192.168.0.105,192.168.0.1,DNS,77,53,crl.microsoft.com
2015-10-2409:45:28,192.168.0.105,192.168.0.1,DNS,83,53,ctldl.windowsupdate.com
2015-10-2409:45:28,192.168.0.105,192.168.0.1,DNS,79,53,ajax.googleapis.com
2015-10-2409:45:29,192.168.0.105,192.168.0.1,DNS,76,53,ad.crwdcntrl.net
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,84,53,advertise.indiatimes.com
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,79,53,info.indiatimes.com
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,86,53,syndication.indiatimes.com
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,87,53,in-cdn.effectivemeasure.net
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,80,53,www.timesinternet.in
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,72,53,c.betrad.com
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,72,53,d.adroll.com
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,72,53,l.betrad.com
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,71,53,s0.2mdn.net
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,82,53,s.effectivemeasure.net
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,77,53,goog.applovin.com
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,72,53,p.rfihub.com
2015-10-2409:45:30,192.168.0.105,192.168.0.1,DNS,71,53,pm.w55c.net
2015-10-2409:45:33,192.168.0.105,192.168.0.1,DNS,82,53,dl-debug96.dropbox.com
2015-10-2409:45:36,192.168.0.105,192.168.0.1,DNS,79,53,bbcore.cloudapp.net
2015-10-2409:45:37,192.168.0.105,192.168.0.1,DNS,81,53,az15112.vo.msecnd.net
2015-10-2409:45:37,192.168.0.105,192.168.0.1,DNS,75,53,rtax.criteo.com
