"Time","Source","Destination","Protocol","Length","port number","Info"
"2015-10-24 09:45:53","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x345e  A ade.clmbtech.com"
"2015-10-24 09:45:53","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0x3276  A userreco.indiatimes.com"
"2015-10-24 09:45:54","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0x3276  A userreco.indiatimes.com"
"2015-10-24 09:45:56","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0xfe92  A bcp.crwdcntrl.net"
"2015-10-24 09:45:56","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0xd04b  A safebrowsing.google.com"
"2015-10-24 09:45:56","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x1605  A static.clmbtech.com"
"2015-10-24 09:46:00","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0xe489  A api.choicestream.com"
"2015-10-24 09:46:00","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0x10c4  A ib.adnxs.com"
"2015-10-24 09:46:00","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x0df4  A segments.adap.tv"
"2015-10-24 09:46:00","192.168.0.105","192.168.0.1","DNS","91","53","Standard query 0x9a93  A segments.adaptv.advertising.com"
"2015-10-24 09:46:00","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0xad3d  A idsync.rlcdn.com"
"2015-10-24 09:46:00","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0xd6db  A ssum.casalemedia.com"
"2015-10-24 09:46:00","192.168.0.105","192.168.0.1","DNS","82","53","Standard query 0x8d53  A tap.rubiconproject.com"
"2015-10-24 09:46:00","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x2850  A uav.tidaltv.com"
"2015-10-24 09:46:01","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x8fa7  A www.microsoft.com"
"2015-10-24 09:46:04","192.168.0.105","192.168.0.1","DNS","81","53","Standard query 0x9bb8  A analytics.twitter.com"
"2015-10-24 09:46:04","192.168.0.105","192.168.0.1","DNS","73","53","Standard query 0xdd4d  A adadvisor.net"
"2015-10-24 09:46:19","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x224b  A clients4.google.com"
